index,segment,answerDate,NPS,impactInteraction,reason,improvement
0,Segmento 1,MES 1,0,3,Porque el banco no respalda a sus clientes y tiene un mal servicio muy deficiente en seguridad no responden a la seguridad de los usuarios es pésimo,Es un banco ineficiente
1,Segmento 1,MES 2,5,2,No sé soluciono el problema,Más oficinas
2,Segmento 1,MES 3,5,3,Mucha demora para ll atiendan para consultas,Más módulos de atencion
3,Segmento 1,MES 1,6,3,"La atención estubo bien ,la molestia es por qué los intereses son muy altos había hecho un referido para modular la cuota y cobraron más intereses pero la cuota no bajo antes subió más y pedí explicación y no me la dieron solo me digeron eso lo arrojaba el sistema ,la verdad muy desepsionado ,años atrás tu e un inconveniente con una consignación que hice en el Yumbo hice los respectivos procesos y nunca me devolvieron ese dinero me tocó pagar nuevamente",Que las tarifas sean reales a como se las explican a uno dicen una cosa y cobran otra
4,Segmento 1,MES 2,5,3,ninguna,gracias
5,Segmento 2,MES 3,1,1,Porque ustedes toman desicion es por el cliente sin tener en cuenta que nosotros somos los que colocamos la plata Par que ustedes la trabajen.... Y acaban con la confianza que detenía en ustedes.. Muy grave.,En. Nada ya no me interesa si no terminar de pagarles la deuda porque ustedes ya me retiraron del banco.
6,Segmento 1,MES 1,5,5,"Llega uno a pagar la tarjeta al área de cajas porque no lo hago por otro canal. porque es complicado y no pago lo que estipula el extracto que me envían sino que pago mas para liberar el monto y me dicen que no lo puedo hacer, tengo otras tarjetas con otras entidades y esto no me sucede y esto para mi es incomodo todos los meses pasar por esta situación.","Perdón, no soy yo la persona indicada para decirles que deben mejorar"
7,Segmento 1,MES 2,4,1,"Porque no hay oficinas suficientes para los pagos, había una oficina en Centro empresarial Conecta y lo quitaron ,los intereses muy altos en los prestamos",Crear mas oficinas para facilitar los pagos
8,Segmento 1,MES 3,5,3,"Nada especial, es igual a las demas","mejores sillas, las que hay no tienen espaldar y hay que esperar mcho y es incomodo."
9,Segmento 1,MES 1,0,1,No me colaboraron ni me facilitaron solucion a la dificultad que tengo con el banco.,"Por favor un asesor me atienda personalizado 
Tengo dificultad para ingresar a mi app de Colpatria no obtengo código de contraseña 
Me lo envían por mensaje al teléfono que se canceló.
Deseo que por favor me envíen la información al correo 
No puedo asistir a una oficina pues no estoy en el país 
Por favor urge su colaboración 
Gracias
Mi dificultad es que"
10,Segmento 2,MES 2,0,1,No resuelven los problemas que el mismo Banco genera,Entregar una tarjeta que el Banco bloqueo por decisión propia
11,Segmento 2,MES 3,0,3,No dan soluciones,"Den soluciones .
Escuchar al cliente y darle opciones de lo q el cliente quiere"
12,Segmento 1,MES 1,3,2,"Porque me hicieron cargos a mi tarjeta de crédito sobre adquisiciones que yo no hice y el banco no colaboró en investigar de donde provenian los cargos, ya que no era nombre conocido.",Ser responsables y preocuparse no sólo por sus productos sino por el usuario o consumidor de los mismos que es la esencia del negocio.
13,Segmento 2,MES 2,4,3,Al cliente preferencial no lo tienen en cuente de pasarlo pronto,Decirle a sus empleados que tienen que estar más pendientes de la atención prioritaria
14,Segmento 1,MES 3,0,1,Mala atención a el cliente,
15,Segmento 2,MES 1,6,3,porque cada vez hay menos oficinas en el sector,dejar de eliminar oficinas en la ciudad
16,Segmento 1,MES 2,4,1,No hubo una atención acertiva,Preparar más a su personal en servicio al cliente
17,Segmento 1,MES 3,0,1,"Mal servicio ,no hay linea cada vez que voy al banco ,calor",
18,Segmento 1,MES 1,0,1,Mucha demora oficina también si uno llama que Servio tan malo,Mejores asesores
19,Segmento 2,MES 2,6,2,NO tenemos quien nos atienda.,"volver a tener una persona que  lo atienda, seguramente hicieron recorte de personal y no tiene tiempo."
20,Segmento 1,MES 3,0,1,"El cierre de oficinas perjudica a los clientes, y más cuando se hace de manera premeditada y no se informa",Por lo menos poner más personal que atienda en caja en las oficinas que quedan. Si van a cerrar todas las oficinas bancarias INFORMEN!
21,Segmento 1,MES 1,2,1,El tiempo de espera es largo y no me ayudaron con mi requerimiento,Tener más asesores para atención al cliente y mejorar la información que manejan ya que muchas veces no es la misma que manejan todos
22,Segmento 1,MES 2,0,1,Servicio pésimo,No hay solución
23,Segmento 1,MES 3,5,1,"Aprovecho la oportunidad para comentar en la asistencia medica en el exterior  al definir los pagos hospitalarios fue muy difícil la comunicación con ustedes,  y los correos que envié nunca tuvieron una respuesta, gracias.","Que en todas las áreas, tengamos acceso telefónicamente, como por ejemplo en tesorería porque realicé muchas llamadas y lo que me informaron es que para ese área solo enviar los correos."
24,Segmento 1,MES 1,0,1,Mora en atención y respuestas tardías sin solución en cuanto a seguros que por intermedio de la entidad los usuarios adquieren.,Dar respuesta clara y efectiva y hacer control a la aseguradoras que por intermedio de la entidad ofrecen sus servicios en mi caso el seguro de mascotas. Adicionalmente revisar las cuotas de interés tan elevadas que tiene la entidad. Pues aseguran que en un pago de una cuota no genera interés siendo esto una falacia.
25,Segmento 1,MES 2,4,2,Cuota de manejo de la tarjeta muy costosa,No cobrar la cuota de manejo
26,Segmento 1,MES 3,5,3,"ES EL BANCO QUE LE SACA AL CLIENTE EL DINERO DE LOS BOLSILLOS. COBRAN CUOTA MANEJO, SEGURO, INTERESES CORRIENTES, INTERESES MORA Y COMO LES PARECE POCO: COBRANZAS POR HACER UNA LLAMADA.",ANALICEN COMO AYUDAR AL CLIENTE. SI ES DIFERENTE MAS LLEGAN. CON LOS COSTOS AHUYENTAN.
27,Segmento 1,MES 1,5,3,"Los CDT no tiene más días para cancelar, si no que tiene que ser el mismo día. Terrible.",Ser más más asequible al cliente
28,Segmento 1,MES 2,6,4,Tenía otras expectativas,Quitar la cuota de manejo de la tarjeta que voy a recibir
29,Segmento 1,MES 3,2,2,"La informaciónes obtenida fue confusa
Quedé insatisfecho
No me llamen al teléfono
Cuando vaya a sus oficinas
Me explican
Por favor.",
30,Segmento 2,MES 1,2,3,No sé pudo solucionar  nada,Solucinar
31,Segmento 1,MES 2,5,3,"demora en el servicio e información acerca de pagos incompleta, se les pregunta a los asesores y tampoco saben",mejorar la información suministrada
32,Segmento 1,MES 3,1,1,"Ustedes, son abusivos, le cambian la condiciones del contrato al cliente, eso tipifica abuso de poder y constituye actuación reprochable a al tenor de Código de Comercio y las disipaciones de la superintendencia Bancaria","Ser respetuosos de la legislación que gobierna el servicio bancario y no abrogarse poderes exorbitantes que ninguna norma le ha otorgado...Abusivos mediocres...el Banco no es de Ustedes, ubíquense en la posición que les corresponde lambones, serviles.."
