segment,answerDate,NPS,impactInteraction,reason,improvement
1,1,0,3,Porque el banco no respalda a sus clientes y tiene un mal servicio muy deficiente en seguridad no responden a la seguridad de los usuarios es pésimo,Es un banco ineficiente
1,2,5,2,No sé soluciono el problema,Más oficinas
1,3,5,3,Mucha demora para ll atiendan para consultas,Más módulos de atencion
1,1,6,3,"La atención estubo bien ,la molestia es por qué los intereses son muy altos había hecho un referido para modular la cuota y cobraron más intereses pero la cuota no bajo antes subió más y pedí explicación y no me la dieron solo me digeron eso lo arrojaba el sistema ,la verdad muy desepsionado ,años atrás tu e un inconveniente con una consignación que hice en el Yumbo hice los respectivos procesos y nunca me devolvieron ese dinero me tocó pagar nuevamente",Que las tarifas sean reales a como se las explican a uno dicen una cosa y cobran otra
1,2,5,3,ninguna,gracias
2,3,1,1,Porque ustedes toman desicion es por el cliente sin tener en cuenta que nosotros somos los que colocamos la plata Par que ustedes la trabajen.... Y acaban con la confianza que detenía en ustedes.. Muy grave.,En. Nada ya no me interesa si no terminar de pagarles la deuda porque ustedes ya me retiraron del banco.
1,1,5,5,"Llega uno a pagar la tarjeta al área de cajas porque no lo hago por otro canal. porque es complicado y no pago lo que estipula el extracto que me envían sino que pago mas para liberar el monto y me dicen que no lo puedo hacer, tengo otras tarjetas con otras entidades y esto no me sucede y esto para mi es incomodo todos los meses pasar por esta situación.","Perdón, no soy yo la persona indicada para decirles que deben mejorar"
1,2,4,1,"Porque no hay oficinas suficientes para los pagos, había una oficina en Centro empresarial Conecta y lo quitaron ,los intereses muy altos en los prestamos",Crear mas oficinas para facilitar los pagos
1,3,5,3,"Nada especial, es igual a las demas","mejores sillas, las que hay no tienen espaldar y hay que esperar mcho y es incomodo."
1,1,0,1,No me colaboraron ni me facilitaron solucion a la dificultad que tengo con el banco.,"Por favor un asesor me atienda personalizado 
Tengo dificultad para ingresar a mi app de Colpatria no obtengo código de contraseña 
Me lo envían por mensaje al teléfono que se canceló.
Deseo que por favor me envíen la información al correo 
No puedo asistir a una oficina pues no estoy en el país 
Por favor urge su colaboración 
Gracias
Mi dificultad es que"
2,2,0,1,No resuelven los problemas que el mismo Banco genera,Entregar una tarjeta que el Banco bloqueo por decisión propia
2,3,0,3,No dan soluciones,"Den soluciones .
Escuchar al cliente y darle opciones de lo q el cliente quiere"
1,1,3,2,"Porque me hicieron cargos a mi tarjeta de crédito sobre adquisiciones que yo no hice y el banco no colaboró en investigar de donde provenian los cargos, ya que no era nombre conocido.",Ser responsables y preocuparse no sólo por sus productos sino por el usuario o consumidor de los mismos que es la esencia del negocio.
2,2,4,3,Al cliente preferencial no lo tienen en cuente de pasarlo pronto,Decirle a sus empleados que tienen que estar más pendientes de la atención prioritaria
1,3,0,1,Mala atención a el cliente,
2,1,6,3,porque cada vez hay menos oficinas en el sector,dejar de eliminar oficinas en la ciudad
1,2,4,1,No hubo una atención acertiva,Preparar más a su personal en servicio al cliente
1,3,0,1,"Mal servicio ,no hay linea cada vez que voy al banco ,calor",
1,1,0,1,Mucha demora oficina también si uno llama que Servio tan malo,Mejores asesores
2,2,6,2,NO tenemos quien nos atienda.,"volver a tener una persona que  lo atienda, seguramente hicieron recorte de personal y no tiene tiempo."
1,3,0,1,"El cierre de oficinas perjudica a los clientes, y más cuando se hace de manera premeditada y no se informa",Por lo menos poner más personal que atienda en caja en las oficinas que quedan. Si van a cerrar todas las oficinas bancarias INFORMEN!
1,1,2,1,El tiempo de espera es largo y no me ayudaron con mi requerimiento,Tener más asesores para atención al cliente y mejorar la información que manejan ya que muchas veces no es la misma que manejan todos
1,2,0,1,Servicio pésimo,No hay solución
1,3,5,1,"Aprovecho la oportunidad para comentar en la asistencia medica en el exterior  al definir los pagos hospitalarios fue muy difícil la comunicación con ustedes,  y los correos que envié nunca tuvieron una respuesta, gracias.","Que en todas las áreas, tengamos acceso telefónicamente, como por ejemplo en tesorería porque realicé muchas llamadas y lo que me informaron es que para ese área solo enviar los correos."
1,1,0,1,Mora en atención y respuestas tardías sin solución en cuanto a seguros que por intermedio de la entidad los usuarios adquieren.,Dar respuesta clara y efectiva y hacer control a la aseguradoras que por intermedio de la entidad ofrecen sus servicios en mi caso el seguro de mascotas. Adicionalmente revisar las cuotas de interés tan elevadas que tiene la entidad. Pues aseguran que en un pago de una cuota no genera interés siendo esto una falacia.
1,2,4,2,Cuota de manejo de la tarjeta muy costosa,No cobrar la cuota de manejo
1,3,5,3,"ES EL BANCO QUE LE SACA AL CLIENTE EL DINERO DE LOS BOLSILLOS. COBRAN CUOTA MANEJO, SEGURO, INTERESES CORRIENTES, INTERESES MORA Y COMO LES PARECE POCO: COBRANZAS POR HACER UNA LLAMADA.",ANALICEN COMO AYUDAR AL CLIENTE. SI ES DIFERENTE MAS LLEGAN. CON LOS COSTOS AHUYENTAN.
1,1,5,3,"Los CDT no tiene más días para cancelar, si no que tiene que ser el mismo día. Terrible.",Ser más más asequible al cliente
1,2,6,4,Tenía otras expectativas,Quitar la cuota de manejo de la tarjeta que voy a recibir
1,3,2,2,"La informaciónes obtenida fue confusa
Quedé insatisfecho
No me llamen al teléfono
Cuando vaya a sus oficinas
Me explican
Por favor.",
2,1,2,3,No sé pudo solucionar  nada,Solucinar
1,2,5,3,"demora en el servicio e información acerca de pagos incompleta, se les pregunta a los asesores y tampoco saben",mejorar la información suministrada
1,3,1,1,"Ustedes, son abusivos, le cambian la condiciones del contrato al cliente, eso tipifica abuso de poder y constituye actuación reprochable a al tenor de Código de Comercio y las disipaciones de la superintendencia Bancaria","Ser respetuosos de la legislación que gobierna el servicio bancario y no abrogarse poderes exorbitantes que ninguna norma le ha otorgado...Abusivos mediocres...el Banco no es de Ustedes, ubíquense en la posición que les corresponde lambones, serviles.."
2,1,1,1,"Mucho tiempo para solicitar certificado hipotecario (20) dias. Nunca llego al correo
Luego ir a hacer dos horas de fila para que le digan que hubo una falla el correo llego pero no se puede bajar el documento",Mejorar el servicio
1,2,0,2,Veinte minutos esperando con el banco sin filas y no se habían dado cuenta de que había turnos de asesoría.,"Mejorar la usabilidad de la banca virtual, no se ve fácilmente el número de cuotas de las compras con TC. Hacer llegar las comunicaciones de respuesta a casos abiertos, redactarlas con profesionalismo. No cambiar las condiciones de número de transacciones para no pagar cuota de manejo."
1,3,5,1,"Había poca afluencia de clientes y los cajeros estaban hablando entre sí, solo 1 de 3 estaba atendiendo al público.","Si tienen cajeros haciendo otro tipo de actividades (social/pausas activas  u operativas)y no pueden atender a los clientes de la oficina deberían no ser visibles para el público que espera, esto fomenta la molestia en los clientes que esperan"
1,1,6,5,"Buena atención, y cordialidad de parte de la asesora","Todo está muy bien, no creo que deban mejorar"
1,2,1,2,"Porque estoy pensando retirarme, porque la única oficina qué tenemos en el barrio 20 de julio la suspenden a partir del 1 de noviembre, y ya nos quedaríamos sin colpatria en el barrio",En vez de retirar esa oficina deveran colocar otra en el barrio
1,3,0,1,No hay soluciones en la.oficina no tienen capacidad de resolver nos ponen a marcar a una linea de telefono toca entregar la tarjeta de credito por un cupo de 600000 estoy pagando un manejo del 5 por ciento mensual es un verdadero abuso,A mi nada por q no quiero ser mas cliente de uds gracias
2,1,6,3,Normalmente no me siento satisfecha con el banco,"La atención fue buena, no son las personas quienes me incomodan"
1,2,0,3,Nunca funciona la plataforma para la realización de pagos,Invertir recursos en la mejora de la plataforma para hacer todo de manera virtual
1,3,0,1,no hay solución rápida,soluciones radicales y las líneas de atención siempre estén en funcionamiento
1,1,5,4,Los intereses son muy altos,Hise una reclamación y no e octenido respuesta
1,2,0,1,No tuve solución  ami solicitud,Analizar  bien el perfil  de los clientes
2,3,1,2,"Demora en la atención, solo fui a hacer un abono a mis créditos y me tomo una hora hacerlo",Yo preferiria poder hacer mis diligencias de forma virtual
1,1,3,3,No  uvo. Solocion de nada,Que aya preferencia para los discapacitados
2,2,3,3,Hago abonos a capital para bajar el valor de la cuota y no bajan la cuota hasta que llamo a hacer el reclamo.,
1,3,1,2,"Creo que la máquina que cuenta los billetes en caja 3 presenta falla. Antes de ir hacer el pago en la sucursal, conté muy bien la plata en mi casa, llevaba 6 millones en billetes de 100 mil pesos para hacer el pago de la tarjeta crédito, no estoy completamente seguro, pero puede que les sobraron 100 mil pesos al finalizar el turno.","Verificar la novedad, no es una afirmación pero si tengo esa duda al momento del pago."
1,1,4,5,Es un banco muy bueno yo es porque ya tengo mis años no quiero endeudarme mas,Ya an echo mucho por mi
1,2,0,1,Porque no resolvieron la inquietud que tengo,"Si uno tiene un crédito con ustedes ,son ustedes los que le deben dar solución a sus inquietudes."
1,3,0,4,La atención fue buena,
1,1,2,1,Porque me dieron un valor a pagar que no era y después me llaman del banco y me dicen que tengo días de mora por la mala información que me dieron en el banco al momento de pagar,"Tener una mejor información de lo que debe uno pagar en todas la plataformas (app, banco, línea telefónica etc)"
2,2,5,2,No me resolvieron el motivo de mi visita  ala oficina. me dirigen a la multilinea y es imposible la comunicacion,Más facilidad y agilidad ala hora de realizar algún tramite sea oficina o virtual
1,3,2,2,porque me quitaron mis extractos fisicos impresos.  Me han hecho perder mucho tiempo. No me responden radicados,"no engañarme con los extractos.  Este año ha sido pesimo con ese tema, me engañan diciendome que si me van a llegar,  6 o mas meses atras llegaba uno y no el otro, o lo contrario hasta que hace 6 meses ya no llega ninguno. Voy a Cancelar todos los seguros que tome a traves de ustedes y posiblemente mis 2 tarjetas tambien"
1,1,3,1,"Aseguran que compré un seguro de fraude, que yo no compré. Me mostraron el mensaje ofreciendomelo,  pero no mi respuesta. Así que me lo adjudicaron sin mi aceptación.","Anular la compra del seguro, que no acepté."
1,2,5,4,"Me habia retirado...retome nuevamente la TC con ustedes y el cupo de hoy ganando mas no es ni la mitad de lo que tenia...voy a darme un tiempo a ver si lo aumentan, o cancelo",Cupo y cuota de manejo
1,3,3,2,PORQUE NO ME SOLUCIONARON LO QUE PRETENDIA Y EN OTRA ENTIDAD FUE COMO EN JET,YA NO LA PRIMERA IMPRESION DEJA MUCHO QUE DESEAR
1,1,0,1,La comunicación con el banco es super mala,Mejorar la atención al cliente
1,2,0,1,Mucha espera muy mal servicio,Ser más ágiles y eficientes
1,3,2,3,"Porque igual uno se aguanta las. Filas y la atención del asesor del crédito pésimo
Muy mala asesoría
No dice las cosas y se lleva uno sorpresas 😏",Aumentar asesores y personas q sean transparentes
1,1,0,1,"Primero pantalla de turnos mala; los dichos en mesa del lado pero no hay un aviso de la ubicación de estos.
Me dejaron 20
Minutos esperando",Mejor información
1,2,6,5,"Exelente atención por parte de las asesoras, rápida atención y amabilidad",Me parece bien su atención
