segment,answerDate,NPS,impactInteraction,reason,improvement
1,2,0,5,"Me ofrecieron beneficios que no eran ciertos, solo para que aceptara la TDC, me parece una falta de respeto",No quiero volver a tener ninguna relación con sus productos
1,3,3,1,"Atención supremamente demorada, en la anterior oportunidad me demoraron 45 minutos al teléfono y en esta después de estar al teléfono durante más de 15 minutos no me validaron por el hecho de estar con el teléfono en altavoz. Tengo muchos años con esa tarjeta pero la voy a cancelar por ese mal servicio.",No creo necesario me vuelvan a atender.
1,2,6,3,"La aplicación ya no me permite realizar adelanto de nómina, me dice intentarlo de nuevo es un servicio q he usado y no había tenido inconvenientes pero dese hace aproximadamente un mes no lo he podido realizar","La persona que me atendió me dijo q podía realizar el adelanto de nómina en cajero, pero no es posible no da la opción solo por la aplicación pero al parecer hay algo q no está funcionando bien en la app"
1,3,0,3,No es posible hablar con una asesor,Ser atendido por un asesor  no por una operadora que no opciones me da
1,3,4,1,Mucha demora para la entrega de los productos,
2,1,5,1,Todo es mas demorado y pocos beneficios,
1,3,3,1,Realicé una llamada para reportar una transacción desconocida y la respuesta del primer asesor que respondió mi llamada fue que no tenían sistema. Me parece muy grave que no se puedan atender estas solicitudes urgentes por esta razón.,Mejorar la infraestructura tecnológica. Respuestas de este tipo disminuyen la confianza de los clientes frente a la seguridad de las aplicaciones y sitios web del banco.
1,3,3,1,"No me parece la solución adecuada por parte de la compañía, al menos la solución proveída por el agente, también me parece una mala experiencia al cliente, porque tenemos que esperar 20 min para que nos contesten y después de eso nos dejan mas de 6 min en hold y uno no sabe si el agente está ahí o no","Mejorar la atención al cliente, y proveer una solución rápida, un “ticket” no me da solución de mi dinero"
1,3,2,2,no se resuelven,soluciónar informar bien
1,3,0,1,Porque se me bloqueó la app de Scotiabank y he intentado recuperarla y lo he podido llamo a los números de servicio al cliente y me dicen q no estoy registrado .. cuando intento recuperar la cuenta no me llega el código de recuperación..,Solucionar mi problema para poder utilizar la app de Scotiabank
1,2,0,1,No he podido cancelar la tarjeta,Cancelar la tarjeta
1,1,6,2,No hubo solución,"No poner tantas trabas, porque si la llamada fue solamente para una disminucion de cupo, como sera para otra solicitud?."
1,2,5,2,Complicado y te dejan al teléfono y luego cuelgan.,"No dejarlo a uno esperando al teléfono, y colgarle. Y tener que llamar hasta mas de 5 veces y repetir el proceso."
1,1,5,2,No me sirve ella tarjeta,Cancelar la tarjeta
1,3,3,1,,
2,2,1,1,"Ofrecen servicios como entradas vip y no cumplen, se exoneran de responsabilidad con visa, visa con dragon pass y nadie le responde al cliente","Ya nada, voy a cancelar la tarjeta han sido muchos años de descontento"
1,3,3,1,El.asesor  no me ayudo como necesitaba,Contratar personal  más humano
1,1,0,1,,
1,1,5,3,no me ayudaron con el caso de posible fraude,indicaciones mas precisas
1,1,0,1,Publicidad engañosa,
2,1,1,5,"Muy triste que no escuchen al cliente, una gestión de cobranza totalmente grosera y fuera de lugar sin entender realmente qué es lo que pasa con la cuenta. Se llama a Servicio al Cliente y me colgaron dos veces y por alguna razón solo una persona me ayudó que es Diana Daza, ella espectacular. El resto terrible","Solo Diana Daza me está ayudando, espero con ella tener más éxito pero el nivel de servicio al cliente totalmente inaceptable y un mal trato."
3,3,0,1,Soy un cliente PREMIUM supuestamente. Lo prometido no se ha cumplido y llevo más de 1.5 meses esperando la tarjeta débito de mi categoria,Cumplir lo prometido
1,3,1,1,"Mal servicio en las oficinas
Los empleados no atienden bien",Preocuparse por el cliente
1,1,0,1,"No existe sistema de escalamiento de problemas, cuando llamas los agentes tienen que solucionar, si el problema no lo resuleven te mandan al banco. Un ejemplo, tengo un problema donde no puedo hacer ningun movimiento digital, lo ideal es que exista un area de escalamiento, no todo es ""vaya al banco"".",Mejoren el escalamiento.
1,1,0,1,Cambian las políticas para los clientes y no puede cancelar los productos casi que te obligan a quedarte a la fuerza,Mantener las políticas que se ofrecen cuando se toman los productos.
1,3,0,1,Muy mala antencion y poca solucion,Tener soluciones a tiempo y no cuando ya no hay nada que hacer aaaa y cambiar siertos asesores que no sirven sino para calentar puesto. Bien dice el dicho quien no nace para servor no sirve para vivir.....
1,3,5,1,"Porque he tenido demasiados inconvenientes para poder usar la cuenta de ahorros, es más, aún no la puedo usar.","Necesito que desbloqueen la cuenta para poderla utilizar. Ya fui personalmente a una sucursal y perdí demasiado tiempo y para nada, porque el que me atendió dijo que en 1 hora,ya quedaba desbloqueada y fue mentira."
1,2,0,1,"No envían los extractos, y hacen débitos sin aurizacio",Solucionar el problema de los extractos
1,2,4,5,Cuando uno retira dos veces se bloquea,.
1,3,0,1,Porque por empezar las personas de la oficina de centro mayor no dan opción de realizar el proceso y lo direccionan a sitios donde nadie contesta y atiende,
1,3,0,1,"Es un problema comunicarse a una línea, pide un código que tampoco da  ,nadie le ayuda, ni siquiera yendo al mismo banco.","Tener lineas directas, sin tanto trámite de códigos, ni nada"
2,3,0,5,"No me sentí con el acompañamiento debido, vi mucho desorden desde que inicié el procesó hasta el mismo desembolso fue fuera de los tiempos pactados entre muchas otras cosas. Por otra parte nos acabamos de percatar que la tasa que firmamos en la notaría junto con las escrituras es muy diferente a la tasa que nos aparece en la aplicación al consultar el crédito. Cómo se podemos abordar esta diferencia, dado que es muy significativa entre lo prometido al tomar firmas y lo que nos aparece en este momento.","Necesito que por favor se contacten conmigo para resolver la tasa prometida versus la tasa que actualmente nos aparece en el crédito, hubiera sabido hubiera tornado el crédito con otra entidad."
