answerDate,surveyType,NPS_BSC,impactInteraction,reason,improvement,NPS_Coverage_Team,impactLastInteraction,reasonLastInteraction,improvementLastInteraction,Nps_rel,PDR,expectedBusiness,commRelation,commFactor,commOther
MES 1,Relacional,,,,,,,,,10.0,Excelente servicio,Aumente,El Servício recibido es excelente,Excelente experiencia,No gracias
MES 1,Relacional,,,,,,,,,7.0,"Mi opinión va mas afocado a la parte operativa, pues la banca virtual considero  que debería ser mas amigable en temas de cargar los pagos y descargar soportes puesto que estos no son efectivo pues muchas veces salen rechazos y no los muestra en el soporte. por otra parte en el call center no dan una solución inmediata a las novedades que se presentan.",Se mantenga,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Muy amable y certeros con la información,Continuar con el buen servicio,,,,,,,,,,
MES 1,Coverage Team,,,,,5.0,Aumentó poco,,,,,,,,
MES 1,BSC,9.0,No hubo cambios,,,,,,,,,,,,
MES 1,Relacional,,,,,,,,,9.0,Por la calidad del servicio,Aumente,,El servicio es muy bueno y el Gerente asignado siempre soluciona.,
MES 1,BSC,10.0,Aumentó de manera significativa,,,,,,,,,,,,
MES 1,Relacional,,,,,,,,,10.0,"Excelente acompañamiento, variedad de servicios y tasas atractivas.",Aumente,,"Acompañamiento en los últimos meses, oferta en variedad de servicios, interés permanente en las necesidades de la empresa.",
MES 1,Relacional,,,,,,,,,9.0,Por servicio y oportunidad,Se mantenga,presentar mas alternativas de financiación (leasing),Amabilidad y compromiso,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,.......0........................................................................SGVSDFSFES,FDSFF,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,La asesora fue muy paciente y me ayudo a resolver mi problema. En todo momento se noto su experiencia.,,,,,,,,,,,
MES 1,Coverage Team,,,,,10.0,Aumentó de manera significativa,"Por el acompañamiento de principio a fin, a la solicitud que tenía",Asi está bien,,,,,,
MES 1,BSC,9.0,Aumentó poco,Buena atención en la línea de servicio al cliente,"A veces, la información que envían es confusa",,,,,,,,,,
MES 1,BSC,10.0,Aumentó poco,,,,,,,,,,,,
MES 1,Relacional,,,,,,,,,8.0,Buen servicio y asesoría,Se mantenga,Mayor competitividad en tasas de interés y mayor plazo de crédito,"Contamos con asesoría, acompañamiento, oportunidad de respuesta y buen servicio",No
MES 1,Relacional,,,,,,,,,8.0,"Desde nuestro  Relationship Manager (Juan Guevara) el servicio ha sido superior, oportuno y de un alto impacto positivo en nuestros resultados como organización, gracias a esto, manejamos más del 90% de nuestros recursos en pesos en productos en Scotia. Las soluciones y beneficios que nos brinda, así como los productos que han puesto a disposición se ajustan a nuestras necesidades como organización de caracter internacional. Solamente por mejorar la Gerencia que nos apoya con el proceso de ""expatriados"" la cual, si bien nos ha dado solución a las necesidades de los programas para becarios americanos, la gestión ha resultado tediosa y con reprocesos. Esta parte por mejorar",Se mantenga,Mejorar el servicio desde la Gerencia que atiende nuestros productos para becarios internacionales (americanos) en Colombia desde la Vicepresidencia Retail Banking. Los productos nos han servido para la operación; pero la misma ha tenido bastantes reprocesos e inconformidades por parte de nuestros becarios,,
MES 1,BSC,10.0,Aumentó de manera significativa,"Muy organizado el proceso para solicitar la certificación bancaria y no tener que ir presencialmente al banco, nos ahorra mucho tiempo. Genial. Buenas indicaciones de la persona que me atendió por teléfono para darme la instrucción.",Mayor facilidad para hacer pagos por PSE. Nunca nos ha dejado hacerlos desde el portal. Complicado ese proceso.,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Buen servicio,mantener la calidad del servicio,,,,,,,,,,
MES 1,BSC,10.0,No hubo cambios,El servicio siempre ha sido muy bueno.,Seguir asi,,,,,,,,,,
MES 1,BSC,10.0,Aumentó de manera significativa,Es una buena plataforma,,,,,,,,,,,
