answerDate,surveyType,NPS_BSC,impactInteraction,reason,improvement,NPS_Coverage_Team,impactLastInteraction,reasonLastInteraction,improvementLastInteraction,Nps_rel,PDR,expectedBusiness,commRelation,commFactor,commOther
1,1,,,,,,,,,10.0,Excelente servicio,1.0,El Servício recibido es excelente,Excelente experiencia,No gracias
1,1,,,,,,,,,7.0,"Mi opinión va mas afocado a la parte operativa, pues la banca virtual considero  que debería ser mas amigable en temas de cargar los pagos y descargar soportes puesto que estos no son efectivo pues muchas veces salen rechazos y no los muestra en el soporte. por otra parte en el call center no dan una solución inmediata a las novedades que se presentan.",2.0,,,
1,2,10.0,5.0,Muy amable y certeros con la información,Continuar con el buen servicio,,,,,,,,,,
1,3,,,,,5.0,4.0,,,,,,,,
1,2,9.0,3.0,,,,,,,,,,,,
1,1,,,,,,,,,9.0,Por la calidad del servicio,1.0,,El servicio es muy bueno y el Gerente asignado siempre soluciona.,
1,2,10.0,5.0,,,,,,,,,,,,
1,1,,,,,,,,,10.0,"Excelente acompañamiento, variedad de servicios y tasas atractivas.",1.0,,"Acompañamiento en los últimos meses, oferta en variedad de servicios, interés permanente en las necesidades de la empresa.",
1,1,,,,,,,,,9.0,Por servicio y oportunidad,2.0,presentar mas alternativas de financiación (leasing),Amabilidad y compromiso,
1,3,,,,,10.0,5.0,.......0........................................................................SGVSDFSFES,FDSFF,,,,,,
1,2,10.0,5.0,La asesora fue muy paciente y me ayudo a resolver mi problema. En todo momento se noto su experiencia.,,,,,,,,,,,
1,3,,,,,10.0,5.0,"Por el acompañamiento de principio a fin, a la solicitud que tenía",Asi está bien,,,,,,
1,2,9.0,4.0,Buena atención en la línea de servicio al cliente,"A veces, la información que envían es confusa",,,,,,,,,,
1,2,10.0,4.0,,,,,,,,,,,,
1,1,,,,,,,,,8.0,Buen servicio y asesoría,2.0,Mayor competitividad en tasas de interés y mayor plazo de crédito,"Contamos con asesoría, acompañamiento, oportunidad de respuesta y buen servicio",No
1,1,,,,,,,,,8.0,"Desde nuestro  Relationship Manager (Juan Guevara) el servicio ha sido superior, oportuno y de un alto impacto positivo en nuestros resultados como organización, gracias a esto, manejamos más del 90% de nuestros recursos en pesos en productos en Scotia. Las soluciones y beneficios que nos brinda, así como los productos que han puesto a disposición se ajustan a nuestras necesidades como organización de caracter internacional. Solamente por mejorar la Gerencia que nos apoya con el proceso de ""expatriados"" la cual, si bien nos ha dado solución a las necesidades de los programas para becarios americanos, la gestión ha resultado tediosa y con reprocesos. Esta parte por mejorar",2.0,Mejorar el servicio desde la Gerencia que atiende nuestros productos para becarios internacionales (americanos) en Colombia desde la Vicepresidencia Retail Banking. Los productos nos han servido para la operación; pero la misma ha tenido bastantes reprocesos e inconformidades por parte de nuestros becarios,,
1,2,10.0,5.0,"Muy organizado el proceso para solicitar la certificación bancaria y no tener que ir presencialmente al banco, nos ahorra mucho tiempo. Genial. Buenas indicaciones de la persona que me atendió por teléfono para darme la instrucción.",Mayor facilidad para hacer pagos por PSE. Nunca nos ha dejado hacerlos desde el portal. Complicado ese proceso.,,,,,,,,,,
1,2,10.0,5.0,Buen servicio,mantener la calidad del servicio,,,,,,,,,,
1,2,10.0,3.0,El servicio siempre ha sido muy bueno.,Seguir asi,,,,,,,,,,
1,2,10.0,5.0,Es una buena plataforma,,,,,,,,,,,
1,2,10.0,5.0,"excelente atencion , muy rapida",mejorar el representante de cuenta,,,,,,,,,,
1,1,,,,,,,,,10.0,"Porque es un banco confiable, con el que hemos realizado operaciones en sus diferentes líneas de negocios y nos ha salido todo bastante bien, no hemos tenido mayores inconvenientes",1.0,"Ampliar la red de oficinas, sobre todo en el sur de la ciudad, no tenemos muchas cerca de nuestra ubicación.","Nos sentimos muy bien atendidos por nuestro Gerente de cuenta, y su equipo, quien siempre estan dispuestos a prestar el mejor servicio y ayudar en todos nuestros requerimientos en forma oportuna",
1,2,10.0,5.0,"Buenas tardes

el proceso ahora es mas fácil, ademas la Señorita que me atendió tiene un amplio conocimiento y me guio para solucionar el inconveniente que teniamos en la empresa.
Muchas Gracias",,,,,,,,,,,
1,3,,,,,9.0,3.0,,"Seria importante que consideraran la posibilidad de poner una oficina en Metrópolis, puesto que para cualquier diligencia desplazarnos a la sucursal mas cercana no es tan fácil",,,,,,
1,2,1.0,1.0,Soy administrador de propiedad horizontal y llevó más de mes tratando de legalizar firmar y activar la banca virtual...en la banca virtual llevó dos días tratando de habilitar a las personas que deben autorizar....mire mi registro histórico que no le estoy diciendo mentiras,Me atendieron en total 8 asesores...las damas muy amables y serviles...los hombres se disgustan con facilidad al punto que el primero que me atendió no me ayudó con el problema,,,,,,,,,,
1,1,,,,,,,,,9.0,,2.0,,,
1,2,10.0,5.0,Satisfactorio,Que haya menos trámites,,,,,,,,,,
1,2,9.0,4.0,"Mucho mejor la atenciòn del asesor asignado al Conjunto, ha sido excelente y la atenciòn de la señorita Ingrid en la asoria en nuestra banca virtual excelente.","La atenciòn es supremamente importante, especialmente a la poblacion adulta que no
somos muy duchos para manejar esta tecnologia",,,,,,,,,,
1,2,3.0,2.0,Porque Scotiabank es demasiado burocrático y eso hace que los procesos tengan mucha fricción con los usuarios,Ser más ágiles,,,,,,,,,,
1,3,,,,,10.0,4.0,,Hacer el portal más interactivo,,,,,,
1,2,8.0,5.0,,,,,,,,,,,,
1,2,9.0,4.0,Ahora si contestan la linea telefónica,Flexibilidad,,,,,,,,,,
1,2,10.0,4.0,,,,,,,,,,,,
1,2,10.0,5.0,,,,,,,,,,,,
1,2,10.0,5.0,"La persona que me atendió super atenta, maneja super bien el tema, explica muy bien detallada la operación que debe hacer uno por ese medio, tuvo toda la disposición para explicarme",,,,,,,,,,,
1,2,6.0,3.0,,,,,,,,,,,,
1,2,10.0,5.0,,,,,,,,,,,,
1,2,0.0,3.0,procesos demasiados lentos y complicados,,,,,,,,,,,
1,2,10.0,4.0,"Muy buen servicio por parte de Dayanna, la asesora que me atendió",,,,,,,,,,,
1,2,9.0,3.0,SE LLAMA Y DICEN QUE COLABORAN PERO SE DEMORAN EN DAR RESPUESTA UN DIA MAS,,,,,,,,,,,
1,2,10.0,5.0,"La atención recibida fue muy buena, me aclararon muchas cosas, el asesor fue muy educado y se esmero por solucionarnos las inquietudes.
Gracias Scotiabank","En las llamada muchas veces la comunicacion se corta y debemos volver a llamar y hacer todo el tramite que ya iba adelantado con el asesor, porque nos atiende en la siguiente llamada otro nuevo asesor, eso es muy engorroso empezar de nuevo, explicar y volver a espera la solucion con la desconfianza de que se vuelva a corta nuestra llamada.
agradeceriamos que cuando la llamada se corte nos sea devuelta para continuar con el proceso que estabamos realizando.
Gracias por oir nuestras sugerencia.",,,,,,,,,,
1,2,10.0,5.0,Servicio,no sabría,,,,,,,,,,
1,2,10.0,4.0,La atención que recibí de su funcionaria  fue acertada,Reducir el tiempo de espera de comunicación en el teléfono.,,,,,,,,,,
1,3,,,,,10.0,3.0,,,,,,,,
1,1,,,,,,,,,9.0,POR EL SERVICIO PRESTADO,2.0,ATENCION OPORTUNA,,
