index,segment,answerDate,NPS,impactInteraction,reason,improvement
0,Segmento 1,MES 2,0,5.0,"Me ofrecieron beneficios que no eran ciertos, solo para que aceptara la TDC, me parece una falta de respeto",No quiero volver a tener ninguna relación con sus productos
1,Segmento 1,MES 3,3,1.0,"Atención supremamente demorada, en la anterior oportunidad me demoraron 45 minutos al teléfono y en esta después de estar al teléfono durante más de 15 minutos no me validaron por el hecho de estar con el teléfono en altavoz. Tengo muchos años con esa tarjeta pero la voy a cancelar por ese mal servicio.",No creo necesario me vuelvan a atender.
2,Segmento 1,MES 2,6,3.0,"La aplicación ya no me permite realizar adelanto de nómina, me dice intentarlo de nuevo es un servicio q he usado y no había tenido inconvenientes pero dese hace aproximadamente un mes no lo he podido realizar","La persona que me atendió me dijo q podía realizar el adelanto de nómina en cajero, pero no es posible no da la opción solo por la aplicación pero al parecer hay algo q no está funcionando bien en la app"
3,Segmento 1,MES 3,0,3.0,No es posible hablar con una asesor,Ser atendido por un asesor  no por una operadora que no opciones me da
4,Segmento 1,MES 3,4,1.0,Mucha demora para la entrega de los productos,
5,Segmento 2,MES 1,5,1.0,Todo es mas demorado y pocos beneficios,
6,Segmento 1,MES 3,3,1.0,Realicé una llamada para reportar una transacción desconocida y la respuesta del primer asesor que respondió mi llamada fue que no tenían sistema. Me parece muy grave que no se puedan atender estas solicitudes urgentes por esta razón.,Mejorar la infraestructura tecnológica. Respuestas de este tipo disminuyen la confianza de los clientes frente a la seguridad de las aplicaciones y sitios web del banco.
7,Segmento 1,MES 3,3,1.0,"No me parece la solución adecuada por parte de la compañía, al menos la solución proveída por el agente, también me parece una mala experiencia al cliente, porque tenemos que esperar 20 min para que nos contesten y después de eso nos dejan mas de 6 min en hold y uno no sabe si el agente está ahí o no","Mejorar la atención al cliente, y proveer una solución rápida, un “ticket” no me da solución de mi dinero"
8,Segmento 1,MES 3,2,2.0,no se resuelven,soluciónar informar bien
9,Segmento 1,MES 3,0,1.0,Porque se me bloqueó la app de Scotiabank y he intentado recuperarla y lo he podido llamo a los números de servicio al cliente y me dicen q no estoy registrado .. cuando intento recuperar la cuenta no me llega el código de recuperación..,Solucionar mi problema para poder utilizar la app de Scotiabank
10,Segmento 1,MES 2,0,1.0,No he podido cancelar la tarjeta,Cancelar la tarjeta
11,Segmento 1,MES 1,6,2.0,No hubo solución,"No poner tantas trabas, porque si la llamada fue solamente para una disminucion de cupo, como sera para otra solicitud?."
12,Segmento 1,MES 2,5,2.0,Complicado y te dejan al teléfono y luego cuelgan.,"No dejarlo a uno esperando al teléfono, y colgarle. Y tener que llamar hasta mas de 5 veces y repetir el proceso."
13,Segmento 1,MES 1,5,2.0,No me sirve ella tarjeta,Cancelar la tarjeta
14,Segmento 1,MES 3,3,1.0,,
15,Segmento 2,MES 2,1,1.0,"Ofrecen servicios como entradas vip y no cumplen, se exoneran de responsabilidad con visa, visa con dragon pass y nadie le responde al cliente","Ya nada, voy a cancelar la tarjeta han sido muchos años de descontento"
16,Segmento 1,MES 3,3,1.0,El.asesor  no me ayudo como necesitaba,Contratar personal  más humano
17,Segmento 1,MES 1,0,1.0,,
18,Segmento 1,MES 1,5,3.0,no me ayudaron con el caso de posible fraude,indicaciones mas precisas
19,Segmento 1,MES 1,0,1.0,Publicidad engañosa,
