propName,segment,interactionDate,NPS,reason_Verbatim ,improvement
0,1,1,0,No he solicitado ningún producto con ustedes. Por el contrario por la ineficiencia suya en los procesos de autenticación de identidad fui víctima de SUPLANTACION DE IDENTIDAD y ahora debo someterme al engorroso papeleo y tramitologia para limpiar mi nombre.,
1,1,2,0,Cada uno decide si se endeuda o no,Más claridad en el cobro de los intereses y que no le ofrezcan productos que no funcionan
1,1,3,6,"He tratado de realizar dos compras en los ultimos meses , después de realizar  el pago del mes y no me permite realizar  la compra.","En mi caso personal . Quiero ampliar el cupo, por que me ingresaron unas compras como Netflix, y prime las difirieron a 24 meses. Por eso nunca tengo el cupo."
1,2,1,1,Altísimos intereses cobran manejo cobran seguro,Quitar manejo
1,1,2,3,"Todas las compras internacionales las Difieren automáticamente a 24 y 36 meses, he llamado en varias ocasiones para que lo pongan a una cuota y me dicen que ya esta listo pero me siguen facturando a las cuotas que el banco quiere",
1,1,3,2,no tienen manera de atender mis solicitudes viviendo en el extranjero,
1,1,1,0,"Me parece una falta de respeto y una estafa los valores que están cobrando por demoras en los pagos, por 5 días 4%, eso es vergozoso.  uando os intereses por mes están en ese porcentaje, los deberín multar por ese atropello","Deben quitar esos cargos adicionales por demorarse en los pagos, deben cobrar algo racional"
1,1,2,1,Considero que no es justo que se pague mes a mes y todo el dinero se valla a intereses,
0,1,3,6,Es buena,
1,1,1,0,"Por varios motivos:
1. Me obligan a diferir las compras internacionales a 36 meses, y si no quiero hacerlo me toca llamar a la línea telefónica del banco para solicitar que me las dejen a 1 cuota. Por eso opté por no utilizar la tarjeta para hacer compras internacionales. 
2. Antes cobraban los intereses para cada compra y así podía hacer compras a uno o varios meses. Ahora, según me explicaron, toman el monto total de todas las compras para cobrar los intereses sin importar si son compras a 1 mes o a más meses. 
3. Viajé al exterior y fue imposible encontrar un medio diferente a la vía telefónica para contactar al banco. Otros bancos ofrecen esa posibilidad vía chat, por ejemplo, y correo electrónico. Me decepcionó qué un banco tan grande no tuviera más canales de comunicación para cuando uno se encuentra en el exterior.","Que permitan al cliente escoger a cuantas cuotas quiere diferir las compras internacionales y las hechas por Internet.
Qué haya más canales de comunicación con el banco para poder contactarlos desde el exterior.
Qué se cobren los intereses de acuerdo a cada compra y no basado en el monto total de compras."
1,1,2,0,"Me cobraron cuota de manejo por la tarjeta que estuvo prácticamente la mayoría del tiempo desactivada
Me motiva a cancelarla",
1,1,3,0,Pensé q tenia descuentos en verduras,No cobro cuotas de manejo
1,1,1,0,,
1,1,2,0,Ya cuentan con una.,
1,1,3,6,,
1,1,1,6,,
0,1,2,6,Mucha demora en la atención y el banco estaba desocupado.,
1,1,3,5,El cobro de intereses . He pagado todo a una cuota y se me ha cobrado mes a mes,Explicación clara del cobro de intereses mes a mes si mis compras han sido a una cuota siempre
1,1,1,1,GENERAN COBROS ADICIONALES NO AUTORIZADOS,
1,1,2,6,PORQUE HICE UN RECLAMO A CERCA DE UN MAYOR VALOR COBRADO EN MI CUOTA HACE DOS AÑOS DE $300.000 Y ESTA ES LA HORA Y NO ME HAN DADO RESPUESTA .,"QUE NO COBREN INTERES POR COMPRAS A UNA CUOTA.
QUE ME DEVUELVAN EL DINERO QUE ME COBRARON INJUSTAMENTE.
QUE AOAREZCAN EL NÚMERO DE CUOTAS EN LA BANCA VIRTUAL.
QUE REDUZCAN EL TIEMPO EN QUE APARECEN LAS COMPRAS EN LA BANCA VIRTUAL."
