segment,answerDate,NPS,impactInteraction,reason,improvement
2,1,0,3,Porque no quiero hacer nada con ustedes. Solo porque me pagan la nómina aquí,Nada
1,2,4,2,"Siempre que quiero mirar mis transacciones de la TC no puedo por que o esta sin datos o no estan actualizadas, cuando exporto la data sucede lo mismo. nunca han mejorada ese problema",Mejorar la información de transacciones de la app
1,3,6,3,,"Que no se caiga tanto, y que se puedan cancelar los seguros desde la aplicación"
1,1,1,1,todo es muy costoso y no ofrecen ninguna posibilidad para los clientes,ME VOY A  RETIRAR
2,2,6,4,Se demora un poco,Ser mas rápidos
2,3,2,2,Porque es muy complicado la comunicación,Hacerla un poco más personalizada
2,1,4,3,sin razon especifica,"La banca virtual esta bien, lo que no funciona bien es el banco"
1,2,6,3,Por qué no cuentan con suficientes sedes y cajeros,Ampliar la cobertura
3,3,2,2,"Constantes, fallas, incompatibilidades y limitaciones","Quitar los problemas técnicos, las incompatibilidades y las limitaciones."
1,1,0,1,Porque es imposible registrar otra cuenta que tengo y no hay con quien preguntar o pedir ayuda. Ademas 3 e las sucursales que mas frecuentaba las cerraron sin previo aviso.,"Dar informacion, ayudar al cliente."
1,2,1,3,En la app no es el problema,
1,3,5,4,Fácil de usar,Esta todo bien lo único es mejorar notificación por mns y correo
2,1,1,1,"Porque realice unos pagos el 29 de diciembre/23 y no han llegado a sus destinatarios, además uno llama 6016057000 y nos es posible la comunicación con tantas preguntas que hacen y no se puede comunicar directamente con personal humano. como se hacen con los demas bancos y le solucionan el problema a la persona-",No ponernos hablar con grabaciones que no resuelven el problema
2,2,5,3,,
1,3,5,3,Me reservo la respuesta,Bajar las tasas de interes
1,1,0,1,"Todas las transacciones que se realizan de forma virtual se demoran mas de 24 horas e incluso mas, así se realicen antes de las 3.  Cuando se busca un cajero no se encuentra incluso de acuerdo al sector de la ciudad así sea redeban.","Si, garantizar que se cumpla con los tiempos pactados. Una transacción si se realiza antes de las 3 de la tarde debe llegar el mismo dia"
1,2,5,1,"Muy mal servicio y una desarganizacion total, nadie sabe lo que esta haciendo",
3,3,5,3,Frustrado con el servicio.,Tiempo perdido todo cambio
1,1,1,1,"Porqué no me parece tan eficientes como otras aplicaciones como las app de Rappi, Nequi o LuloBank. Soy ingeniero de sistemas, y como experto en este campo considero que de cara al cliente, la experiencia al usuario podria mejorar bastante. Además, hay funcionalidades que están atrasados. Por ejemplo, no puedo ingresar en la app por la noche. Otro claro ejemplo, son las transacciones hechas con las tarjetas  créditos. Estas transacciones se demoran en verse reflejadas en la app después de haberlas hechas(lo ideal es ue se evidenciaran desde el mismo momento que se hacen, aún así aparezcan en otro estado). Hay. mucho por lo cual mejorar.","Poder acceder a la app en cualquier momento, esto incluye en la jornada nocturna(actualmente cuando ingreso en la noche a partir de determinada hora, no se puede). Otra cosa que me pareceria genial es poder realizar transacciones en la noche (asi sea colocar las transacciones en una cola de ejecucion como hacen otros bancos). Otro aspecto a mejorar es poder ver  las transacciones hechas con la tarjeta de credito inmediatamente(esto actualmente no esta pasando). También deberia poder ser má fácil acceder a ciertas funcionalidades de la tarjeta de crédito como poder bloquearla o descargar extractos de una manera más intuitiva."
2,2,5,2,,
2,3,0,1,Nunca funciona!!! Siempre está caído todo,
2,1,5,2,Porque tienen una pésima banca virtual.,"Nada, a manos que cambien la oportunidad de uso de la banca virtual."
1,2,5,3,Normal,Nada
2,3,0,1,La página es muy mala comparada con otros bancos.,Nada.
1,1,3,1,La aplicación móvil no me ha dejado hacer transacciones dice que no se puede. Ha fallado mucho últimamente es terrible esa aplicación. Me ha tocado hacerlo desde la banca virtual,Que arreglen esa aplicación móvil ha fallado mucho
2,2,5,1,"Muchos fallos para transferir a números telefónicos, y nunca dice que fallo",Solucionen
1,3,6,3,,
1,1,4,4,funciono para lo que la necesitaba pero hace meses atras no podia acceder ni descargar nada.No funcionaba y se bloqueaba,
2,2,6,3,la app tiene algunas fallas y demora en la carga de los detalles de algunos productos como la cuenta de ahorros o la fiducia.,La banca virtual (web) se queda a veces en blanco cuando se quieren ver los detalles de un producto.
2,3,5,4,"Facilidad de operación, falla frecuente",Garantizar operación confiable 24/7
1,1,0,1,"Es el peor banco, nunca sirven los cajeros. el cajero del exito norte nunca tiene dinero y al cajero que queda dentro del palacio del lievano (Alcaldia Mayor) no le sirve la pantalla, es imposible poder sacar el dinero y cuando uno va a poner una queja por telefono lo enrredan y no le dejan poner la queja, dicen que tiene que ser por medio de la web. son el peor banco, nunca los recomendaria",Atender las quejas por cualquier medio y estar pendientes de que los cajeros sirvan
2,2,1,1,"No brinda solicuones, siempre esta en mantenimiento.",tener respaldo en los mantenimeintos
2,3,1,3,,
1,1,5,2,No se por que fue reversada la transferencia a otra entidad bancaria,Una explicación  por que hacen operaciones que uno no ha solicitado
2,3,1,1,"No tuve ninguna aplicación con ustedes, pero sigo esperando para que por favor  me activen la banca virtual empresarial y no lo consigo, la asesorano contesta pero seguro hacen el cobro sin tenerle activa y necesito recibir unos recursos por esa línea",Activarla
